How satisfied are you with the Self-Knowledge  chatbot overall? - Group,How satisfied are you with the Self-Knowledge chatbot overall?,"When interacting with the chatbot, I found it conversed in an empathetic manner.","When interacting with the chatbot, I found it recognized my emotion correctly.","When interacting with the chatbot, I found the conversation to be engaging and flowed well.","When interacting with the chatbot, I could get a response from the chatbot fast.","After interacting with the chatbot, I felt better able to recognize and understand defense mechanisms in my life.",The chatbot was good at teaching me how to handle with difficult emotions.,I would recommend the self-knowledge chatbot to others.,What do you like most about the Self-Knowledge  chatbot app?,Do you have any suggestions on how to improve the Self-Knowledge  chatbot app?
Detractor,5,4,3,3,5,2,2,3,"It response qickly and efficiency, and it is easy to talk with them just by select answers.","I think the settings of the question are straightforward, and there are too few of them, that they cannot fit my actual situation well. So I can't solve my emotional problem through this program. I hope you can set more questions and provide us with more options."
Promoter,10,4,5,5,5,4,5,5,"The interface is user-friendly, and the chatbot is very helpful in making me recognise my flaws. ",Give more options to the user to use as a response.
Passive,8,5,5,4,5,5,5,5,Plenty of useful suggestions for overcoming negative emotions,"I think this chatbot is meant to talk about negative emotions in one's childhood so I don't see the meaning of asking about feelings in recent days. In my expectation, if you recognise the negative emotions of the recent days, it might be better to give suggestions first and make sure the participant is feeling better before you go through the next question (negative emotions in childhood)."
Passive,8,4,4,4,5,4,4,4,I enjoyed the quick responses that were primarily accurate. I felt the chatbot had good intentions and could pick up knowledge quickly.,"Add a spectrum of confidence in the chatbot's knowledge. If there it's not sure what the user is going through, then map the confidences to responses so the user can get a better understanding of the logic of the chatbot. Perhaps then you could have a tree of responses for the user to help the bot in different situations."
Promoter,9,5,5,5,5,5,5,5,,
Passive,7,4,3,2,4,4,4,4,,Increase the number of questions and options
Promoter,9,4,4,4,5,3,4,5,It responds quickly. The QA setting so make sense.,"If the protocol can automatically reply in the chatbox, it may be better for users to interact with the bot."
Promoter,9,5,5,5,5,5,4,5,"The questions it asks me step by step become deeper as they progress, which makes it easy for me to take the advice it gives.",It felt a little abrupt to me that the conversation ended soon after the chatbot suggested the protocol at the end.
Passive,8,5,5,5,5,4,3,3,What I like most about this app is its quick response.,Dialogue skills need to be improved.
Passive,7,4,4,5,5,4,4,4,,
Passive,7,5,3,4,4,4,3,4,"Helpful to format, with the descriptions on the right side.

The chatbot felt personal","Providing it with a bigger vocabulary of emotions. It reduced a lot to ""happy""

Would be helpful if it broke down the protocols into more granular tasks "
Passive,8,3,5,3,5,4,3,4,"The web interface is clear. Very minimalistic and high quality communication experience, have noticed that persona uses a letter A. Based on my experience, this may be more inviting to confide with a chatbot than facing a portrait.","As a chatbot to detect the defence mechanism has been very qualified, further improvement may be a bit general when recommending the SAT protocols."
Passive,8,4,4,4,4,4,4,4,It speaks like a human,no suggestions
Passive,8,4,3,4,5,5,5,5,"References to the protocols are useful.
The rational approach to tackle emotion works.",System asks how I am feeling. I say: fine. System says I get a feeling you are angry today! Please correct me if I am wrong! - Sounds a bit obvious that the system is playing it safe in this mechanical response!
,5,4,3,4,5,3,3,3,,
