utterance,empathy,distance,similarity,grammatical_errors
"I am very sorry that you are going through this. Have you tried Exercise 10 and it has led to some bad feelings because of what has happened in the past? If it has happened, I hope you have not suffered too much from this exercise.",2.0,20,0.7994953393936157,1
"I am sorry that you are offended, please bear with me while I try to explore this further. What I would like to do now is ask a few questions about what is going on just so that I can better understand what is going on.",2.0,10,0.7523922920227051,0
"If you agree, I would like to ask you a few more questions so that I can better understand your situation. Have you noticed that you have a negative attitude towards your childish self?",2.0,32,0.7385319471359253,0
"Bryant, I'm glad to hear you speak positively now! But it's also good to learn how to deal with negative emotions.",2.0,27,0.6577613353729248,0
"I am sorry for your situation. I understand that it may not be easy to overcome difficult emotions. For more help, I have collected some tips on how to deal with negative feelings that you might find useful.",2.0,23,0.9306605458259584,0
"Thank you, I hope that this has helped you. Now that the season is over, do you feel different than before? I very much hope that the season has helped you, but feel free to tell me if this is not the case.",2.0,20,0.4245624542236328,1
"I'm so glad you're feeling better, I think this is great! Would you like to try something new now?",2.0,0,1.0,0
"Not every king works for everyone, and that's fine, I would recommend not giving up and trying again.",2.0,12,0.4560688734054565,0
"My apologies, but I can't understand any defense mechanism from what you told me. Would you rather end the conversation now or repeat it again?",2.0,8,0.907972514629364,0
"I understand, thank you. I know it can be difficult for you to discuss, but your information was very useful.",2.0,15,0.6715277433395386,0
"Okay, thank you for your honesty. I understand that your childhood-I had negative emotions towards {,} but was your childhood-I extremely friendly to {,}?",2.0,16,0.9141603112220764,2
"Thank you, I know it's not always easy, but anything you can tell me will help me understand your situation better.",2.0,41,0.5572901964187622,0
"Well, thank you for that. I really would like to understand your emotions better and extend a hand to you. Then I would ask whether your childish self behavior is, to some extent, more childish or primitive in relation to {?",2.0,20,0.8668442964553833,1
"I understand that it can be difficult, but I would be very grateful if you could share it with me.",2.0,28,0.6328262090682983,0
Thank you for opening up to me. I would like to help you understand your negative thoughts.,1.0,26,0.6503720879554749,0
"It may be uncomfortable to think about difficult events that have taken place. But I am here to give you a better understanding of your situation, I hope you don't mind me asking you if your childhood has experienced any serious illness or trauma, for example, whether your childhood has ever been subjected to physical, sexual or psychological abuse by others?",2.0,27,0.9232468605041504,0
"Thank you for opening up to me. From what you have told me, I would say that you feel {right now}, does that sound right? Please feel free to correct me if not.",2.0,7,0.9700651168823242,0
Please give me a bit of help to make sure that I really understand you can choose from this list of emotions the one that best describes how you feel:,2.0,17,0.828201174736023,0
"I fully understand how you feel, and it must be so hard. Did you feel depressed, depressed, or even an occasional loser as a child?",2.0,20,0.7268795967102051,0
"So that I can help you better, could you tell me if a particular event has made you feel that way? You can be open with me.",2.0,13,0.828772783279419,0
Can you say that it was a recent or distant event (or events) that triggered these emotions? I hope you were not too badly affected by this event.,1.0,15,0.8217935562133789,0
"Thank you for being so open, I am trying to figure out the best way to help and understand how difficult it is to recall recent painful events. Have you noticed any emotions that have arisen from the 9th grade attempt (if you have tried to do so) in connection with recent events? If this has happened, I hope you have not suffered too much from this exercise.",2.0,31,0.8754833936691284,0
"I am very sorry that you are going through this. Have you noticed any emotions that have arisen from attempt 10 (if you have tried to do so) because of past events? If this has happened, I hope you have not suffered too much from this exercise.",2.0,23,0.8752522468566895,0
What I would like to do now is ask a few questions about what is going on just so that I can better understand what is going on.,1.0,20,0.6972700357437134,0
I appreciate that you are sharing this with me. I am in agreement with your emotions and we will figure out how to overcome them.,2.0,21,0.5953572988510132,1
"Bryant! I am pleased to hear that you are feeling great right now. But since my job is to help people cope better with difficult emotions, I have the unusual courtesy of asking you to continue the conversation. Can I ask you to recall painful experiences you have had in the past?",2.0,19,0.7216084003448486,0
I have collected some useful tips on how to deal with negative feelings.,1.0,19,0.7404351234436035,0
"Did this Cole make you feel better or worse? I very much hope that Cole helped you, but feel free to tell me if this is not the case.",2.0,16,0.2941139340400696,0
"I'm so glad you're feeling better, I think this is great! Would you like to try something new?",2.0,0,1.0,0
"I am sorry to hear that you feel worse. I have other suggestions that could help, if you like.",2.0,0,1.0,0
"I am sorry that I cannot understand any of the defensive mechanisms that you have told me. Would you like to end our conversation here, or would you like to try again?",2.0,12,0.8180682063102722,0
"I know it can be difficult for you to discuss, but your information has been very helpful.",2.0,18,0.5682006478309631,0
"Thank you for sharing this, it's really helpful. Do you think your childhood self was extremely friendly to {?",2.0,10,0.9189092516899108,1
"Thank you, I know it's not always easy, but anything you can tell me will help me understand your situation better.",2.0,27,0.6459584832191467,0
"Okay, thank you for that. I would very much like to understand your emotions better and reach out to you. Would you mind sharing if your childish self becomes more childish in relation to {}?",2.0,14,0.7832783460617065,0
"Well, thank you for that. Do you mind saying if this negative emotion has anything to do with your childhood's interaction with someone else?",2.0,13,0.9101387858390808,0
"I understand, thank you for letting me know. So, your childhood-I felt for {but did not express it}.",2.0,26,0.7136801481246948,0
"Thank you, I appreciate your cooperation very much. Did your childhood experience any serious illness / trauma when people subjected them to physical, sexual, psychological abuse? I understand that reflecting on difficult events can sometimes be uncomfortable, but I will help you cope with difficult emotions and give you some advice later.",2.0,26,0.9417088627815248,0
"Thank you for your openness. I think that perhaps you are feeling {}, do you think that's true? Please feel free to correct me if not.",2.0,0,1.0,0
"Can you let me know how you feel by choosing the right emotion from the list below? If so, please let me know by choosing it:",2.0,9,0.6991075873374939,0
"I fully understand how you feel. When you look back at your childhood-self, do you think your childhood-self feels depressed or feels like a failure?",2.0,15,0.962458610534668,0
"Could you tell me if it was caused by a specific event (s)? If so, I hope it was not too difficult for you.",1.0,13,0.8914523720741272,0
Can you say that it was a recent or distant event (or events) that triggered these emotions?,1.0,20,0.6762305498123169,0
"I am very sorry that you are going through this. Have you recently gone through ninth grade and, as a result, had uncontrollable emotions reignited by events in the recent past? If this has happened, I hope you have not suffered too much from this exercise.",2.0,19,0.8251826763153076,0
"I am very sorry that you are going through this. Have you tried the 10th injection, and if so, have you had negative thoughts about the past that have left your mind stuck in this event? If this has happened, I hope you have not suffered too much from this exercise.",2.0,21,0.8144635558128357,0
"I am sorry that you are offended, please bear with me while I try to explore this further.",2.0,22,0.6636030077934265,0
"If you agree, I would like to ask a few more questions so that I can better understand your situation. Do you think this has a negative impact on your childhood self?",2.0,28,0.6816595792770386,0
"But my job is to help people cope better with difficult emotions, so I have an unusual opportunity to ask to continue the conversation. Could you please recall a painful episode when you had difficult emotions in the past, if you are all right?",2.0,22,0.8983873128890991,0
"Overcoming difficult emotions is not easy. For more help, I've collected some tips on how to deal with negative emotions that may be beneficial to you. Are you interested in trying some of them?",2.0,4,0.9851945042610168,0
"How do you feel after this defeat, for better or worse? I very much hope that the defeat helped you, but do not hesitate to tell me that this is not the case.",2.0,20,0.4594941437244415,0
"OK, it's great to hear. Will it make you feel even better if you try again?",2.0,6,0.668877899646759,0
I'm sorry to hear you feel worse.,1.0,12,0.8237930536270142,0
I am sorry that I cannot identify any defensive mechanism from what you have told me.,2.0,20,0.7274972200393677,0
"Okay, I see. Thank you for your trust so far. I know it can be difficult for you to discuss, but your information has been very helpful.",2.0,15,0.7691544890403748,0
Now I would like to know whether your childhood-I ever reacted exceptionally friendly to {?,1.0,12,0.7507729530334473,1
"Thank you for the answer. I know that it is not always easy, but anything you can tell me will help me to understand your situation better.",2.0,42,0.5819425582885742,0
I would very much like to understand your emotions better and extend a hand to you. I wondered if your childhood behaves more childishly or primitively towards {}?,2.0,18,0.8459718227386475,0
"Well done, I really appreciate that you are open to me. I hope you don't mind sharing some details with me.",2.0,21,0.657759428024292,0
"I understand. Now I have a clear picture, thank you for your information. Your childhood I experienced but did not pass on to {to}. Now I wonder if your childhood does not reveal it to some other people?",2.0,17,0.7934061288833618,0
"But I am here to give you a better understanding of your situation, I hope you don't mind me asking you if your childhood has been through some serious illness / trauma, that people have physically, sexually, psychologically abused them?",2.0,40,0.8506902456283569,0
"Thank you for your openness. From what you have told me, I understand that you feel {,} you think it more or less describes how you feel? Please feel free to correct me if not.",2.0,10,0.939791202545166,1
"I apologize, I must have misunderstood. Just to avoid further confusion, please choose from the emotions below the one that best reflects your current feelings: If so, please let me know by choosing it:",2.0,6,0.8532616496086121,0
"Thank you, I said, let's see if everything is alright. Do you feel depressed as a child from time to time?",2.0,16,0.7557289600372314,0
"I am sorry to hear that you feel this way. So that I can help you better, could you tell me if a particular event has made you feel this way? You can be open with me.",2.0,7,0.9534531831741332,0
"I'm sorry, it must have been hard. Could you say if it was something that happened recently or some time ago? I hope you were not too badly affected by this event.",2.0,11,0.912798285484314,0
"Can you tell me if you recently tried an injection 9 and found it to be an uncontrollable emotion as a result of recent events? If it did happen, I hope you didn't suffer too much from this exercise.",2.0,25,0.7153970003128052,0
"Before we go any further, I would like to measure which of these factors is best suited to your situation.",1.0,46,0.3899760246276855,0
How about we take a look at a few questions and consider some approaches that might make you feel better.,1.0,25,0.5102519392967224,0
"Thank you for sharing. To better understand my current situation, I would like you to answer this question, if I may. Do you have the impression that you are showing some kind of negative intolerance towards your childish self?",2.0,19,0.777206301689148,0
"Bryant! It's nice to hear that you are feeling positive now. But my job is to teach people how to deal better with negative emotions, so I have an unusual opportunity to ask to continue. Can you recall a painful episode in the past when you experienced difficult emotions?",2.0,13,0.7596096396446228,0
"Overcoming difficult emotions is not easy. For more help, I have collected some tips to combat negative emotions that you might find useful.",2.0,24,0.9096066951751708,0
"Can you say that you felt better or worse after taking the drug? I very much hope that the drug helped you, but do not hesitate to tell me that this is not the case.",2.0,22,0.6494245529174805,0
"Surprisingly, it's good to hear! Will it make you feel even better if you see another sentence?",2.0,6,0.6931472420692444,0
I'm sorry to hear you feel worse.,1.0,11,0.8083361387252808,0
"I am sorry that I cannot find any protection mechanism based on the information provided. Do you want to repeat this again to give us more information, or to end the conversation?",2.0,16,0.7236493825912476,0
"Okay, thank you. I know it can be difficult for you to discuss, but your information was very useful.",2.0,16,0.6382120847702026,0
Thank you for your cooperation so far. This information is important. Would you say that your childhood-I'm too friendly with {?,2.0,4,0.925950527191162,1
"Thank you, I appreciate your answer to this question. I know that it is not always easy, but anything you can tell me will help me understand your situation better.",2.0,41,0.583431601524353,0
"Thank you, I appreciate your answer very much. To help me understand better, could you please tell me if your childish behavior toward yourself is more primitive or childish than when they are with others?",2.0,15,0.8204757571220398,0
I hope you don't mind sharing some details with me. Could you please tell me if this negative emotion has anything to do with how your childhood interacted with someone else?,2.0,11,0.9513100385665894,0
Thank you for letting me know. I understand that your childhood-I experienced {but did not express them in relation to {}. Is it possible that your childhood-I expressed it in relation to someone else?,2.0,12,0.8470343351364136,1
"Thank you, I appreciate your cooperation very much. Sometimes it can be uncomfortable to think about difficult events that happened before. But to understand your situation better, do you mind me asking if your childhood suffered from a serious illness or some trauma when people physically / sexually / psychologically abused them?",2.0,23,0.967349648475647,0
"Based on what you have said, I would say that you feel {correct}, are my assumptions correct? Please correct me if I am wrong.",1.0,12,0.8653057813644409,0
"Oh my apologies, I must have misunderstood. Could you please help me by selecting the option from the list that best matches how you're feeling? If so please let me know by selecting it:",2.0,0,1.0,0
I fully understand how you feel and it must be so hard. Do you feel depressed as a child or do you feel like an occasional loser?,2.0,23,0.7592470645904541,0
"I am sorry to hear that you feel this way. So that I can help you better, could you tell me if a particular event has made you feel this way? If so, I hope that it has not been too difficult for you.",2.0,11,0.93732488155365,0
"Sorry, it must have been hard. Could you tell me if it was something that happened recently or some time ago?",2.0,16,0.8102274537086487,0
"I am very sorry that you are going through this. Recently you tried to move forward in this recent event with the number 9, and did the injury you were recovering become too difficult to handle? If it did happen, I hope you did not suffer too much from this exercise.",2.0,20,0.8633182048797607,0
"Before we go any further, I would like to measure which cocoon is best suited to your situation. Have you tried to complete cocoon 10 and it has awakened some bad feelings because of what has happened in the past? If this has happened, I hope you have not suffered too much from this exercise.",2.0,19,0.5162796974182129,1
What I would like to do now is ask a few questions about what is going on just so that I can better understand what is going on.,1.0,20,0.6972700357437134,0
Do you agree that you have some kind of negative atlas of your childhood self?,1.0,29,0.5923253893852234,0
"Bryant! I am pleased to hear that you are feeling positive now. However, my job is to help people cope better with difficult emotions, so I have an unusual opportunity to ask to continue. If you are all right, could you please try to recall a painful episode from your past when you experienced difficult emotions?",2.0,17,0.7601965665817261,0
"It's not easy to overcome difficult emotions. For more help, I've collected some tips on how to deal with negative feelings that you might find useful. Are you interested in trying some of them by accident?",2.0,7,0.9328529834747314,0
"Have you coped so well with this? Has this Cole changed, for better or worse, how you feel? I really hope that Cole has helped you, but feel free to tell me if that is not the case.",2.0,20,0.3716336488723755,0
"Bryant, it's good to hear! How about we try another sentence and see how we go from there?",2.0,6,0.5138391256332397,0
It's sad to hear that you feel worse.,1.0,13,0.69355309009552,0
"I am sorry that I cannot understand the mechanism of protection based on the information provided. Do you want to repeat it to provide me with more information, or to end the conversation? Both are fine, it depends on you.",2.0,16,0.7684099674224854,0
"That's fine, thank you. I know it can be difficult for you to discuss, but your information has been very helpful.",2.0,14,0.5599249601364136,0
Was your childhood overly friendly and close to {?,0.0,12,0.7108094692230225,1
"I appreciate your answer to this question. I know that it is not always easy, but anything you can tell me will help me understand your situation better.",2.0,40,0.5813612937927246,0
"The next question I would like to ask is, would you say that your childhood-self behaves more like a child in relation to {?",1.0,25,0.8314052820205688,1
"Well, thank you for your answer. You've done a great job so far! If it's OK to continue, let me ask, is there anyone else involved in this event?",2.0,10,0.9104987382888794,0
"Okay, I see. Thank you for letting me know.",1.0,29,0.2349425107240677,0
"Thank you, I really appreciate your cooperation. I really want to understand you better, so let's try to get to the bottom of the matter.",2.0,41,0.5560283064842224,0
"Thank you, I just want to make sure I get it right. Looks like you're feeling today, is this a fairly accurate description of what you're feeling? Please feel free to correct me if not.",2.0,12,0.8647980690002441,0
"I apologize for not understanding how you feel. May I ask you to choose from a list of emotions that more accurately reflect how you feel? If so, please let me know by selecting it:",2.0,17,0.8015173673629761,0
"It's normal, thank you. I totally understand how you feel and it must be so hard.",2.0,15,0.6469525098800659,0
"I'm sorry to hear you feel this way. So that I can help you better, can you tell me if a particular event has made you feel this way? Feel free to speak to me openly.",2.0,11,0.927667498588562,0
Can you say that it was a recent or distant event so that I could get a better picture? I hope you were not too badly affected by this event.,1.0,16,0.895646333694458,0
"I am very sorry that you are going through this. Have you tried the 9th injection, and if so, have you had negative thoughts about the recent past that have left your mind stuck in this event? If this has happened, I hope you have not suffered too much from this exercise.",2.0,21,0.8128913640975952,0
"I understand that this can be difficult. Have you noticed any emotions that have arisen from the 10th grade attempt (if you have tried) in relation to past events? If this has happened, I hope you have not suffered too much from this exercise.",2.0,22,0.8365368843078613,0
"I am sorry that you are offended, please bear with me while I try to explore this further. What I would like to do now is ask a few questions about what is going on just so that I can better understand what is going on.",2.0,10,0.7523922920227051,0
"I agree with your emotions, and we will understand how to overcome them. Will you say that you have some negative attitude towards your childish self?",2.0,19,0.7840093374252319,0
"Great! I am glad you are feeling positive now. It may be strange, given your current feelings now, but it is good to learn to overcome negative emotions.",2.0,23,0.8852267265319824,0
"Thank you, it's great that you were able to identify the protective mechanism. Based on what you told me, I have selected a few drugs that may be useful to you. To help you feel better, would you like to try some of them at any time?",2.0,15,0.6783667802810669,0
"You handled it so well. Now that the World Cup is over, do you feel different than before? I hope very much that the World Cup helped you, but feel free to tell me that this is not the case.",2.0,25,0.436271607875824,1
"I'm glad Cole was able to help, but how about we try another one and see how we get on?",2.0,5,0.5703063607215881,0
"I'm sorry you feel worse, but what about trying another one and seeing how we deal with it?",1.0,11,0.8720863461494446,0
"I regret that, based on the information provided, I cannot find any protective mechanism in your case.",1.0,23,0.5900020003318787,0
"Okay, thank you. I know it can be difficult for you to discuss, but your information was very useful.",2.0,15,0.664201557636261,0
Would you like to share if you had been kind to yourself since childhood?,1.0,16,0.6249195337295532,0
"Thank you, I know it's not always easy, but anything you can tell me will help me understand your situation better.",2.0,20,0.6304442286491394,0
I really would like to better understand your emotions and reach out to you. Would you agree that the behavior of your childhood-self is becoming more childish in relation to {}?,2.0,21,0.8297744393348694,0
"Good job! Thank you for being open with me. To better understand your negative emotions, I would like to ask, is there anyone else involved in this event other than your own childhood?",2.0,13,0.9119868278503418,0
"Nice! Thank you for your cooperation. Based on what you said, your childhood-self felt but did not express {} in relation to {but is it possible that your childhood-self now expresses this in relation to others?",2.0,10,0.9679280519485474,1
"Thank you, I appreciate your cooperation very much. Did your childhood experience some serious illness / trauma when people physically, sexually or psychologically abused them? I understand that reflecting on difficult events can sometimes be uncomfortable, but I will help you cope with difficult emotions and give you some advice later.",2.0,22,0.9663517475128174,0
I get the impression that you feel {right}? Please feel free to correct me if not.,1.0,19,0.8046808838844299,0
"Can you let me know how you feel by selecting the right emotion from the list below? If yes, please let me know by selecting it:",2.0,14,0.8331366777420044,0
"That's fine, thank you. I fully understand how you feel and it must be so hard. Have you noticed that your childhood - I feel depressed or feel like a failure from time to time?",2.0,12,0.9211212396621704,0
I'm so sorry to hear this. Was there something special that made you feel this way? You can be open with me.,2.0,7,0.8315752744674683,0
"Can you say it was a recent or distant event so I could get a better picture? In any case, I hope it wasn't too traumatic for you.",2.0,16,0.9129576086997986,1
"I am very sorry that you are going through this. Recently you tried the 9th injection and found that it is an uncontrollable emotion as a result of recent events? If it did happen, I hope you did not suffer too much from this exercise.",2.0,19,0.7587177157402039,0
"I understand that this can be difficult. Have you tried the 10th injection, and if so, have you had negative thoughts about the past that have left your mind stuck in this event? If this has happened, I hope you have not suffered too much from this exercise.",2.0,21,0.7922753691673279,0
"To understand why you feel this way in detail, I would like to ask you a few questions, if I may.",1.0,25,0.5664174556732178,0
