utterance,empathy,distance,similarity,grammatical_errors
"I know it can be difficult for you to discuss this, but your information was very useful. Have you ever had a real struggle with {}?",2.0,17,0.6238135099411011,0
"This was really useful, thank you. Now I would like to know if your childhood itself has ever reacted to {overly friendly}?",2.0,9,0.8845616579055786,0
"Thank you for the answer. I know it is not always easy, but everything you can tell me will help me better understand your situation. Would you say that the feelings / attitudes of your childhood towards {} are similar to those of your primary caregivers (such as your parents or relatives who took most of the responsibility for them during childhood)?",2.0,16,0.9490771293640136,0
Thank you for your answer. I would really like to better understand your emotions and help you. I wondered if your childhood self behaves more childish or primitive towards {}?,2.0,15,0.868396520614624,0
I hope you don't mind sharing some details with me. Does this negative emotion have anything to do with your childhood interaction with someone else?,2.0,16,0.9139180183410645,0
"I understand. Now I have a clearer picture, thank you for your information. Your childhood self has experienced, but not conveyed towards {}. Now I wondered if your childhood self reveals it to other people?",2.0,13,0.9543994665145874,0
"It can be unpleasant to think of difficult events that have occurred, but I am here to help you understand your situation better, I hope it does not bother you to ask me if you yourself experienced a serious illness / trauma in your childhood, that people physically, sexually or psychologically abused you?",2.0,36,0.8924824595451355,0
"Thank you for your openness. From what you have told me, I understand that you feel. Do you think that this more or less describes the way you feel?",2.0,16,0.8934695720672607,0
"I apologize, I must have misunderstood. To avoid further confusion, please choose from the following feelings that best reflect your current feelings: If so, please let me know by selecting it:",2.0,10,0.8321146965026855,0
"Thank you, take note, let's continue exploring whether this is okay. Does your childhood self feel depressed now and then?",2.0,15,0.8778718709945679,0
"I am sorry to hear that you are feeling this way. So that I can help you better, could you tell me if a particular event has made you feel this way? You can be open to me.",2.0,6,0.9608033895492554,0
"I am sorry, it must have been hard. Could you tell me if this happened recently or some time ago? I hope you have not suffered too much from this event.",2.0,10,0.940506100654602,0
"I am very sorry that you are going through this, can you let me know if you have recently tried Protocol 9 and find that, as a result of recent events, it has triggered uncontrollable emotions again? If that has happened, I hope that you have not suffered too much from this exercise.",2.0,25,0.9131408929824828,0
"Before we go any further, I would like to assess which protocol is best suited to your situation. Could you try protocol 10, and if so, did you feel that the protocol evoked the same difficult emotions that you have experienced in the past? If so, I hope you have not suffered too much from this exercise.",2.0,17,0.9014624357223512,0
"I am sorry that you are hurting, please bear with me while I try to investigate this further, how about we go through a few questions and explore some approaches that could help you feel better.",2.0,5,0.985429584980011,0
"Thank you for sharing. In order to better represent your current situation, if you permit, I would like to ask you to answer this question. Do you have the impression that {shows} a negative attitude to yourself in childhood?",2.0,14,0.7623315453529358,0
"It is nice to hear that you are feeling positive now. However, my job is to teach people to handle negative emotions better, so I have an unusual favor to continue. Do you remember a painful episode in the past when you experienced difficult emotions?",2.0,12,0.9322014451026917,0
"Overcoming difficult emotions is not easy. To get more help, I have compiled some tips for dealing with negative emotions that you may find useful.",2.0,23,0.8954800367355347,0
"Would you say that you feel better or worse after taking it? I really hope that the protocol has helped you, but do not hesitate to tell me if this is not the case.",2.0,15,0.8866509199142456,0
"Amazing, that's good to hear! Would you feel even better if you saw another proposal?",2.0,7,0.8173580765724182,0
"I am sorry to hear that you are worse off, but would you like to try another suggestion?",1.0,10,0.8443635106086731,0
"I'm sorry that I can't see a defense mechanism based on the information, would you like to play it again to give us more information, or end the conversation? Both are fine, it's up to you.",2.0,9,0.9386574029922484,0
"Good, thank you. I know this may be difficult for you to discuss, but your information was very useful. Have you ever had a real struggle with {}?",2.0,6,0.7647212147712708,0
Thank you for your cooperation so far. This information is important. Would you say that you were too kind to {} yourself in your childhood?,2.0,10,0.9015473127365112,0
"Thank you, I appreciate your answer to this question. I know it is not always easy, but everything you can tell me will help me better understand your situation. Did your childhood ideal have similar feelings / attitudes towards your primary caregiver (such as a parent or relative who took most of the responsibility for them during childhood)?",2.0,18,0.9369693994522096,0
"Thank you, I really appreciate your answer. To help me better understand, could you please tell me, is your childish self-behaviour towards {primitive} more primitive or childish than that when they are with others?",2.0,8,0.8417709469795227,1
This is great! I hope you don't mind sharing some details with me. Could you please tell me if this negative emotion is related to how your childhood self interacted with someone else?,2.0,8,0.9876691102981568,0
"Thank you for letting me know. I understand that your childhood self experienced it, but did not express it to anyone else. Is it possible that your childhood self expressed it to someone else?",2.0,13,0.9292854070663452,0
"Thank you, I appreciate your cooperation. Sometimes it can be uncomfortable to think of difficult events that have happened before, but in order to better understand your situation, would you mind asking me if you yourself suffered from a serious illness or trauma in your childhood when people physically / sexually / psychologically abused you?",2.0,28,0.9651881456375122,0
Thank you for your frankness. Are my assumptions based on what you have said that I would say you feel right? Please correct me if I am wrong.,2.0,15,0.8074333667755127,0
"Oh my excuse, I must have been wrong. Could you please help me by selecting the option from the list that best suits your feeling? If so, please let me know by selecting it:",2.0,7,0.6861289739608765,0
I fully understand how you feel and it must be so hard. Does your childhood ideal feel depressed or does it feel like a failure from time to time?,2.0,14,0.8983926177024841,0
"I am sorry to hear that you are feeling this way. So that I can help you better, could you tell me if a particular event has made you feel this way? If so, I hope that it was not too difficult for you.",2.0,8,0.9535627365112304,0
"I am sorry, it must have been hard. Could you tell me if this happened recently or some time ago? Either way, I hope it was not too traumatic for you.",2.0,10,0.9534553289413452,0
"I am very sorry that you are going through this. Have you recently tried to get away from this latest event with Protocol 9, and has the trauma you have revisited become too difficult to deal with? If so, I hope that you have not suffered too much from this exercise.",2.0,18,0.9098929762840272,0
"Before we go any further, I would like to assess which protocol is best suited to your situation: have you tried to complete protocol 10 and it has led to some bad feelings being reawakened because of things that have happened in the past? If so, I hope you have not suffered too much from this exercise.",2.0,20,0.8725571036338806,1
"Thank you, I am sorry that you are trying to fight and help, but what I would like to do now is to ask a few questions about what is going on, just so that I can better understand what is happening.",2.0,17,0.8027883768081665,0
That was brave of you to share I am in tune with your emotion and we will understand how to overcome it. Do you agree that {has} some negative attitudes to your childhood itself?,2.0,7,0.9558475017547609,1
"Brilliant! I am glad to hear that you are feeling positive now. However, my job is to help people deal with difficult emotions better, so I have an unusual favor to continue. If you are doing well, could you please try to recall a painful episode from your past when you experienced difficult emotions?",2.0,18,0.9631096720695496,0
"Overcoming difficult emotions is not easy. To help you, I have put together a few tips on how to deal with negative feelings that could be useful to you.",2.0,30,0.9004141092300415,0
"Has this protocol changed your feelings, for better or for worse? I really hope that the protocol has helped you, but do not hesitate to tell me if that is not the case.",2.0,19,0.8840048313140869,0
"Brilliant, that's good to hear! How about we try another proposal and see how it goes?",2.0,5,0.802852213382721,0
We are sorry to hear that you are worse off. Would you like to try another suggestion?,2.0,8,0.8991588354110718,0
"I am sorry that I cannot see a defense mechanism based on the information. Would you please play it again to give me more information, or end the conversation? Both are fine, it is up to you.",2.0,12,0.9639856219291688,0
"That's fine, thank you. I know this may be hard for you to discuss, but your information was very useful. Have you had a real struggle with {}?",2.0,7,0.7794107794761658,0
"This is really cooperative from you, very grateful. Was your childhood itself overly friendly and close to {?}?",2.0,10,0.8648661375045776,0
"I know it is not always easy, but all you can tell me will help me better understand your situation. Are your childish feelings / attitudes towards {} somehow similar to those of their primary caregivers (such as parents or relatives who have taken most responsibility for their upbringing)?",2.0,24,0.8723993301391602,0
"Thank you very much for your answer. I really want to better understand your emotions and help you. The next question I would like to ask you is, would you say that your childhood ideal behaves more like a child towards {}?",2.0,17,0.8344195485115051,0
"Okay, thank you very much for your answer. You have done a great job so far! If it is okay to continue, may I ask, is anyone else involved in this event?",2.0,14,0.8822822570800781,0
"OK, I see. Thank you for letting me know. You yourself in your childhood did not express {your} to her, but I wondered if your childhood self took out your negative emotions towards another person?",2.0,20,0.9193381667137146,0
